% Density Profile of Hard Spheres at a Hard Flat Wall: rho(z), rho(z < 0.5) = 0
% Bulk density: rho (95% CI) = 0.79231789(0.00000354)
%
% rho_i is the average density in the interval [z_i-0.01, z_i+0.01]
%
%  z_i    rho_i     95% CI 
12.070  0.7923451  0.0000688
12.090  0.7923271  0.0000683
12.110  0.7922845  0.0000667
12.130  0.7923540  0.0000669
12.150  0.7923800  0.0000669
12.170  0.7923572  0.0000677
12.190  0.7922983  0.0000669
12.210  0.7922623  0.0000666
12.230  0.7923093  0.0000667
12.250  0.7922843  0.0000677
12.270  0.7922842  0.0000683
12.290  0.7923165  0.0000677
12.310  0.7922858  0.0000679
12.330  0.7922553  0.0000679
12.350  0.7922616  0.0000675
12.370  0.7923551  0.0000674
12.390  0.7922351  0.0000685
12.410  0.7922929  0.0000680
12.430  0.7922638  0.0000679
12.450  0.7923497  0.0000685
12.470  0.7923027  0.0000668
12.490  0.7923125  0.0000674
12.510  0.7922713  0.0000657
12.530  0.7923081  0.0000684
12.550  0.7922791  0.0000668
12.570  0.7923047  0.0000682
12.590  0.7923491  0.0000672
12.610  0.7923778  0.0000673
12.630  0.7923378  0.0000676
12.650  0.7923058  0.0000679
12.670  0.7923274  0.0000661
12.690  0.7923128  0.0000669
12.710  0.7923302  0.0000686
12.730  0.7923239  0.0000665
12.750  0.7923423  0.0000683
12.770  0.7923179  0.0000670
12.790  0.7922795  0.0000678
12.810  0.7923666  0.0000695
12.830  0.7923467  0.0000656
12.850  0.7923365  0.0000669
12.870  0.7922914  0.0000676
12.890  0.7923273  0.0000662
12.910  0.7923699  0.0000676
12.930  0.7923817  0.0000669
12.950  0.7922733  0.0000670
12.970  0.7923378  0.0000673
12.990  0.7922771  0.0000661
13.010  0.7923363  0.0000682
13.030  0.7922907  0.0000674
13.050  0.7923441  0.0000664
13.070  0.7923383  0.0000675
13.090  0.7923138  0.0000674
13.110  0.7923846  0.0000670
13.130  0.7923720  0.0000687
13.150  0.7923237  0.0000678
13.170  0.7923040  0.0000666
13.190  0.7922616  0.0000676
13.210  0.7923521  0.0000682
13.230  0.7922935  0.0000669
13.250  0.7922768  0.0000667
13.270  0.7923027  0.0000670
13.290  0.7923424  0.0000673
13.310  0.7922988  0.0000675
13.330  0.7923063  0.0000665
13.350  0.7923051  0.0000673
13.370  0.7923055  0.0000661
13.390  0.7923314  0.0000676
13.410  0.7923372  0.0000670
13.430  0.7922966  0.0000663
13.450  0.7922580  0.0000673
13.470  0.7923170  0.0000674
13.490  0.7923488  0.0000673
13.510  0.7923672  0.0000674
13.530  0.7922979  0.0000661
13.550  0.7923417  0.0000668
13.570  0.7922844  0.0000671
13.590  0.7923173  0.0000676
13.610  0.7922875  0.0000679
13.630  0.7923183  0.0000672
13.650  0.7922888  0.0000673
13.670  0.7922803  0.0000668
13.690  0.7923457  0.0000675
13.710  0.7923789  0.0000663
13.730  0.7923451  0.0000673
13.750  0.7923233  0.0000670
13.770  0.7923812  0.0000671
13.790  0.7923753  0.0000678
13.810  0.7923478  0.0000669
13.830  0.7923357  0.0000674
13.850  0.7923551  0.0000669
13.870  0.7922423  0.0000666
13.890  0.7923065  0.0000669
13.910  0.7923138  0.0000675
13.930  0.7922847  0.0000673
13.950  0.7923236  0.0000661
13.970  0.7923332  0.0000670
13.990  0.7923397  0.0000677
14.010  0.7923163  0.0000674
14.030  0.7922984  0.0000677
14.050  0.7923362  0.0000647
14.070  0.7923041  0.0000671
14.090  0.7923621  0.0000663
14.110  0.7923121  0.0000674
14.130  0.7923494  0.0000664
14.150  0.7922791  0.0000668
14.170  0.7923230  0.0000669
14.190  0.7922519  0.0000668
14.210  0.7923446  0.0000674
14.230  0.7922537  0.0000677
14.250  0.7923087  0.0000670
14.270  0.7922430  0.0000671
14.290  0.7922789  0.0000670
14.310  0.7923255  0.0000675
14.330  0.7922876  0.0000667
14.350  0.7923011  0.0000661
14.370  0.7923145  0.0000680
14.390  0.7923311  0.0000664
14.410  0.7922989  0.0000677
14.430  0.7923538  0.0000674
14.450  0.7922920  0.0000683
14.470  0.7923252  0.0000661
14.490  0.7923138  0.0000662
14.510  0.7923464  0.0000667
14.530  0.7923517  0.0000658
14.550  0.7922901  0.0000670
14.570  0.7922741  0.0000671
14.590  0.7923255  0.0000657
14.610  0.7923434  0.0000672
14.630  0.7923647  0.0000662
14.650  0.7922834  0.0000669
14.670  0.7923246  0.0000666
14.690  0.7923916  0.0000679
14.710  0.7923739  0.0000666
14.730  0.7923657  0.0000680
14.750  0.7923360  0.0000665
14.770  0.7923188  0.0000681
14.790  0.7923247  0.0000660
14.810  0.7923140  0.0000679
14.830  0.7923238  0.0000672
14.850  0.7923368  0.0000661
14.870  0.7923246  0.0000664
14.890  0.7922654  0.0000676
14.910  0.7923291  0.0000676
14.930  0.7923220  0.0000675
14.950  0.7923315  0.0000676
14.970  0.7923385  0.0000677
14.990  0.7923187  0.0000671
15.010  0.7922839  0.0000670
15.030  0.7922909  0.0000668
15.050  0.7923165  0.0000681
15.070  0.7922906  0.0000676
15.090  0.7922910  0.0000681
15.110  0.7923229  0.0000664
15.130  0.7922978  0.0000678
15.150  0.7923410  0.0000671
15.170  0.7923621  0.0000673
15.190  0.7923642  0.0000662
15.210  0.7922873  0.0000675
